	Gov_Constr	Extra_Miss_Subst	Fusion_Transfer	level	constr	gender	language	case_orig	case_corr
0	Gov	Miss	-	C1	Verb	ж	FL	D	D
1	Gov	Miss	Transfer	B1	Verb	ж	FL	N	D
2	Constr	Miss	-	B2	place	ж	FL	N	L
3	Gov	Miss	-	A2	Verb	ж	FL	N	I
4	Gov	Subst	-	A1	Noun	ж	FL	L	L
5	Constr	Subst	-	A2	time	ж	FL	L	A
6	Constr	Subst	-	A2	time	ж	FL	L	A
7	Gov	Miss	-	A2	Noun	ж	FL	A	L
8	Constr	Miss	-	A2	time	ж	FL	L	L
9	Constr	Subst	-	A2	time	ж	FL	L	A
10	Constr	Subst	-	A2	time	м	FL	L	A
11	Gov	Miss	Transfer	B1	Noun	ж	FL	G	G
12	Gov	Miss	-	A2	Noun	ж	FL	L	L
13	Gov	Miss	-	A2	Noun	ж	FL	L	L
14	Gov	Extra	-	A2	Verb	м	FL	I	A anim
15	Gov	Miss	Transfer	A2	Verb	м	FL	N	L
16	Gov	Miss	Transfer	A2	Verb	м	FL	N	L
17	Gov	Miss	Transfer	A2	Verb	м	FL	N	L
18	Gov	Subst	-	A2	Noun	ж	FL	D	I
19	Gov	Extra	Transfer	B2	Adj	ж	FL	G	I
20	Gov	Subst	Transfer	B2	Noun	ж	FL	I	A
21	Gov	Subst	Fusion	B1	Verb	м	FL	A	L
22	Gov	Subst	-	A2	Verb	ж	FL	I	I
23	Gov	Subst	-	A2	Verb	ж	FL	G	I
24	Gov	Subst	-	A1	Verb	ж	FL	I	A
25	Constr	Miss	Transfer	B1	time	ж	FL	A	A
26	Constr	Subst	-	B1	place	ж	FL	L	L
27	Constr	Subst	Transfer	A2	purpose	ж	FL	V	Conj V
28	Gov	Subst	-	A1	Verb	м	FL	Adv	Adv
29	Gov	Miss	-	A1	Verb	м	FL	A	A
30	Gov	Miss	Fusion	A2	Verb	м	FL	A anim	I
31	Gov	Miss	-	A1	Noun	ж	FL	L	L
32	Gov	Miss	-	A2	Verb	ж	FL	L	L
33	Gov	Extra	Fusion	B1	Noun	ж	FL	L	G
34	Constr	Miss	-	B1	time	ж	FL	L	L
35	Constr	Subst	Transfer	A2	purpose	м	FL	V	Conj V
36	Gov	Subst	Fusion	A2	Verb	ж	FL	D	D
37	Gov	Subst	-	A2	Verb	ж	FL	G	A
38	Gov	Miss	-	B1	Verb	ж	FL	A	L
39	Gov	Miss	-	A2	Verb	ж	FL	L	L
40	Constr	Miss	Transfer	A1	time	ж	FL	N	A
41	Constr	Extra	Transfer	A1	time	м	FL	Adv	Adv
42	Gov	Miss	-	B2	Verb	м	FL	G	G
43	Gov	Extra	-	B2	Noun	ж	FL	L	G
44	Gov	Miss	-	B2	Verb	ж	FL	L	L
45	Constr	Extra	-	A2	time	ж	FL	Adv	Adv
46	Constr	Extra	-	A2	time	ж	FL	Adv	Adv
47	Constr	Extra	-	A2	time	ж	FL	Adv	Adv
48	Gov	Extra	-	A2	Verb	ж	FL	Adv	Adv
49	Gov	Extra	-	A2	Verb	ж	FL	G	I
50	Gov	Miss	-	A2	Noun	ж	FL	D	D
51	Gov	Miss	-	A2	Noun	ж	FL	D	D
52	Gov	Miss	-	A2	Noun	ж	FL	A	D
53	Gov	Miss	-	A2	Verb	ж	FL	D	L
54	Constr	Subst	-	A2	purpose	ж	FL	V	Conj V
55	Gov	Extra	-	A2	time	ж	FL	Adv	Adv
56	Gov	Miss	-	A2	time	ж	FL	A	L
57	Constr	Miss	-	A2	time	ж	FL	L	L
58	Constr	Miss	-	A1	time	ж	FL	N	A
59	Constr	Miss	-	A1	time	ж	FL	N	A
60	Constr	Miss	-	A1	time	ж	FL	N	A
61	Constr	Miss	-	A1	time	ж	FL	N	A
62	Constr	Miss	-	A1	time	ж	FL	N	A
63	Constr	Miss	-	A1	time	ж	FL	N	A
64	Constr	Miss	-	A1	time	ж	FL	N	A
65	Constr	Miss	-	A1	time	ж	FL	N	A
66	Constr	Miss	-	A1	time	м	FL	N	A
67	Constr	Miss	-	A1	time	м	FL	N	A
68	Constr	Miss	-	A1	time	м	FL	A	A
69	Gov	Extra	-	A1	time	м	FL	ADV	Adv
70	Constr	Miss	-	A1	time	ж	FL	N	A
71	Constr	Miss	-	A1	time	ж	FL	A	A
72	Constr	Miss	-	A1	time	ж	FL	N	A
73	Constr	Miss	-	A1	time	ж	FL	N	A
74	Constr	Miss	-	A1	time	ж	FL	N	A
75	Constr	Miss	-	A1	time	ж	FL	N	A
76	Constr	Miss	-	A1	time	ж	FL	N	A
77	Constr	Miss	-	A1	time	ж	FL	N	A
78	Constr	Miss	-	A1	time	ж	FL	N	A
79	Constr	Extra	-	A1	place	ж	FL	L	Adv
80	Constr	Extra	-	A1	place	м	FL	L	Adv
81	Constr	Extra	Transfer	A1	time	м	FL	Adv	Adv
82	Constr	Extra	-	A1	time	м	FL	Adv	Adv
83	Constr	Miss	-	A1	time	ж	FL	N	A
84	Constr	Miss	-	A1	time	ж	FL	N	A
85	Constr	Miss	-	A1	time	ж	FL	N	A
86	Constr	Miss	-	A1	time	ж	FL	N	A
87	Constr	Miss	-	A1	time	ж	FL	A	A
88	Constr	Extra	-	A1	time	ж	FL	Adv	Adv
89	Constr	Extra	-	A1	time	ж	FL	Adv	Adv
90	Constr	Miss	-	A1	time	м	FL	N	A
91	Constr	Miss	-	A1	time	м	FL	N	A
92	Constr	Miss	-	A1	time	м	FL	N	A
93	Constr	Extra	-	A2	time	ж	FL	Adv	Adv
94	Constr	Extra	-	A2	time	ж	FL	Adv	Adv
95	Constr	Extra	-	A2	time	ж	FL	Adv	Adv
96	Constr	Extra	-	A2	time	ж	FL	Adv	Adv
97	Constr	Extra	-	A2	time	ж	FL	Adv	Adv
98	Constr	Subst	-	A2	place	ж	FL	L	L
99	Constr	Miss	-	A2	time	ж	FL	A	A
100	Gov	Subst	-	A2	Verb	м	FL	L	D
101	Gov	Miss	-	B1	Verb	ж	FL	A	A
102	Gov	Subst	-	A1	Verb	м	FL	L	L
103	Gov	Subst	Transfer	A2	Noun	м	FL	G	G
104	Constr	Subst	-	A2	time	ж	FL	L	L
105	Constr	Subst	Fusion	A2	place	ж	FL	A	A
106	Gov	Miss	-	A2	time	ж	FL	A	A
107	Constr	Miss	Transfer	A2	time	ж	FL	A	A
108	Constr	Subst	-	A2	place	ж	FL	A	A
109	Gov	Miss	Transfer	A2	Verb	ж	FL	A	L
110	Gov	Miss	-	B1	Verb	ж	FL	A	A
111	Constr	Subst	Fusion	A2	time	ж	FL	L	L
112	Constr	Extra	Transfer	A2	time	ж	FL	Adv	Adv
113	Constr	Extra	Transfer	A2	time	ж	FL	Adv	Adv
114	Constr	Extra	Transfer	A2	time	ж	FL	Adv	Adv
115	Gov	Subst	Transfer	A2	Verb	ж	FL	L	G
116	Gov	Subst	-	A2	Verb	ж	FL	L	G
117	Constr	Miss	-	A2	Noun	ж	FL	G	G
118	Constr	Subst	Fusion	A2	place	ж	FL	L	L
119	Gov	Subst	Fusion	A2	Verb	ж	FL	A	A
120	Gov	Subst	-	A1	Verb	ж	FL	D	D
121	Gov	Miss	-	A1	Verb	ж	FL	A	A
122	Gov	Miss	Transfer	A1	Verb	ж	FL	N	A anim
123	Gov	Subst	-	A1	Verb	ж	FL	N	D
124	Gov	Subst	-	A1	Verb	ж	FL	A	A
125	Gov	Subst	-	A1	Verb	ж	FL	G	G
126	Gov	Extra	Transfer	A1	Verb	ж	FL	I	I
127	Gov	Subst	-	A1	Verb	ж	FL	A	A
128	Gov	Extra	Transfer	A1	Verb	ж	FL	I	I
129	Gov	Subst	-	A1	Verb	ж	FL	G	G
130	Gov	Extra	Transfer	A1	Verb	ж	FL	G	I
131	Gov	Miss	Fusion	B1	Verb	ж	FL	A anim	I
132	Gov	Subst	-	A1	Verb	ж	FL	N	L
133	Gov	Subst	-	A1	Verb	ж	FL	L	L
134	Gov	Miss	Transfer	A2	Verb	м	FL	Adv	Adv
135	Gov	Extra	Fusion	A1	Verb	ж	FL	D	A
136	Gov	Miss	-	A1	Noun	м	FL	N	L
137	Gov	Subst	-	A1	Verb	м	FL	A	A
138	Gov	Miss	-	A1	Noun	ж	FL	N	L
139	Gov	Subst	-	A1	Verb	ж	FL	L	L
140	Gov	Miss	-	A1	Noun	ж	FL	L	L
141	Gov	Miss	-	A1	Noun	ж	FL	G	A anim
142	Gov	Miss	-	A1	Verb	ж	FL	A anim	I
143	Gov	Miss	-	A1	Verb	ж	FL	N	I
144	Gov	Miss	-	A1	Verb	ж	FL	N	I
145	Gov	Miss	-	A1	Verb	ж	FL	A anim	I
146	Constr	Subst	-	A1	time	м	FL	L	A
147	Gov	Miss	-	A1	Verb	ж	FL	A	D
148	Gov	Miss	-	A1	Verb	ж	FL	N	G
149	Gov	Miss	-	A1	Verb	ж	FL	N	G
150	Gov	Extra	-	A1	Verb	м	FL	L	A
151	Constr	Subst	-	A1	place	м	FL	L	L
152	Gov	Extra	Transfer	A1	Verb	ж	FL	I	I
153	Constr	Subst	Transfer	A1	time	ж	FL	G	A
154	Gov	Subst	-	A1	Verb	м	FL	L	A
155	Gov	Subst	-	A1	Verb	ж	FL	G	I
156	Gov	Extra	-	A1	Verb	м	FL	A	Adv
157	Gov	Subst	-	A1	Verb	ж	FL	A	G
158	Gov	Miss	Transfer	A2	Noun	ж	FL	G	L
159	Constr	Miss	-	A2	time	ж	FL	N	L
160	Gov	Subst	-	A2	Noun	ж	FL	L	D
161	Gov	Miss	-	A2	Verb	ж	FL	N	L
162	Gov	Subst	-	A2	Noun	ж	FL	N	D
163	Gov	Miss	-	A2	Noun	ж	FL	N	L
164	Constr	Subst	-	A2	purpose	ж	FL	V	Conj V
165	Constr	Subst	-	A2	purpose	ж	FL	V	Conj V
166	Gov	Subst	-	A2	Noun	ж	FL	D	D
167	Gov	Subst	-	A2	Noun	ж	FL	N	D
168	Gov	Miss	-	A2	Noun	ж	FL	N	L
169	Constr	Subst	-	A2	time	ж	FL	L	L
170	Constr	Subst	-	A2	time	ж	FL	L	L
171	Constr	Subst	-	A2	time	ж	FL	L	L
172	Constr	Subst	-	A2	time	ж	FL	L	L
